,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
64,8,5,4,4,Acceleron Pharma,113701130.0,success,6,Health Care & Biotechnology,944.0,1969.0,18,North America
65,1,0,3,1,AccelGolf,457282.0,failure,7,Information Technology,0.0,703.0,14,North America
66,7,5,0,5,Accelight Networks,60000000.0,failure,1,Electronics,1053.0,0.0,23,North America
67,1,2,0,0,AccelOne,225000.0,failure,1,Information Technology,483.0,0.0,9,North America
68,1,7,2,4,Accentia Biopharmaceuticals Inc,775000.0,success,2,Health Care & Biotechnology,3690.0,503.0,20,North America
69,2,7,2,5,Accenx Technologies,4500000.0,success,2,Information Technology,3907.0,533.0,25,North America
70,5,5,4,4,Accept Software,25305000.0,success,4,Services,1354.0,1915.0,20,North America
71,2,2,3,2,Accertify,7131124.0,success,3,Services,460.0,700.0,15,North America
72,5,7,4,4,Access Closure,13793098.0,success,3,Health Care & Biotechnology,2983.0,943.0,20,North America
73,2,7,0,5,Access Northeast,1999998.0,success,1,Information Technology,3979.0,0.0,23,North America
74,5,7,4,4,Access Scientific,21376000.0,success,6,Health Care & Biotechnology,2105.0,989.0,18,North America
75,1,1,3,2,Inherited Health,1155000.0,success,2,Health Care & Biotechnology,61.0,578.0,15,North America
76,6,7,0,5,Acclaim Games,38730470.0,success,1,Game & Applications,3585.0,0.0,25,North America
77,5,5,0,4,Acclarent,35000000.0,success,1,Health Care & Biotechnology,1056.0,0.0,18,North America
78,2,0,0,1,Acclaris Holdings,5000000.0,success,1,Design & Platforms,0.0,0.0,12,North America
79,6,2,0,0,Accord,38730470.0,failure,1,Real Estate,496.0,0.0,9,North America
80,1,1,0,0,Accordion Health,150000.0,failure,1,Data Science,49.0,0.0,8,North America
81,8,7,5,5,Accumetrics,110640460.0,success,9,Health Care & Biotechnology,2692.0,3759.0,26,North America
82,2,7,5,4,Accuvant,8198838.0,success,4,Privacy and Security,2373.0,2299.0,20,North America
83,2,7,0,5,Aceva Technologies,5280000.0,success,1,Information Technology,2393.0,0.0,23,North America
84,8,2,5,4,Achaogen,116605704.0,success,4,Health Care & Biotechnology,213.0,3155.0,18,North America
