,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
1211,1,7,0,3,Code71,1000000.0,failure,1,Information Technology,2052.0,0.0,16,North America
1212,6,1,0,0,CodeEval,38730470.0,success,1,Information Technology,59.0,0.0,11,North America
1213,2,2,0,4,Codefast,6500000.0,success,1,Information Technology,439.0,0.0,18,North America
1214,2,5,0,5,Codenomicon,3600000.0,success,1,Privacy and Security,1498.0,0.0,21,North America
1215,5,6,0,4,Codexis,37000000.0,success,1,Health Care & Biotechnology,1686.0,0.0,20,North America
1216,2,2,5,3,Cofio Software,6194000.0,success,3,Information Technology,248.0,2163.0,16,North America
1217,1,1,3,0,CoFoundersLab,1130000.0,success,7,Information Technology,14.0,792.0,10,North America
1218,7,6,4,5,Cogent Communications Group,41510000.0,success,2,Information Technology,1630.0,1699.0,23,North America
1219,5,5,2,4,Coghead,11200000.0,success,2,Information Technology,1035.0,392.0,19,North America
1220,5,7,0,5,Cogito,11700000.0,failure,1,Data Science,4072.0,0.0,28,North America
1221,1,1,0,1,Cognection,25000.0,failure,1,Commerce & Marketing,121.0,0.0,12,North America
1222,5,5,4,5,Cognio,15500000.0,success,2,Information Technology,1159.0,1485.0,22,North America
1223,4,2,3,1,Cognitive Match,10150000.0,success,3,Media & Publishing,181.0,686.0,13,North America
1224,7,6,4,4,Coherex Medical,41525000.0,success,3,Health Care & Biotechnology,1569.0,1790.0,19,North America
1225,8,5,3,1,Coherus Biosciences,249271980.0,success,4,Health Care & Biotechnology,1109.0,807.0,12,North America
1226,5,7,4,5,Cohesive Technologies,23100000.0,success,2,Health Care & Biotechnology,3500.0,1065.0,31,North America
1227,1,0,2,1,Cohuman,1400000.0,success,2,Other,0.0,479.0,13,North America
1228,5,5,4,2,ColdLight Solutions,11000000.0,success,3,Data Science,1096.0,1558.0,15,North America
1229,2,7,0,5,ColdSpark,6500000.0,success,1,Information Technology,1826.0,0.0,21,North America
1230,6,7,2,5,Coley Pharmaceutical Group,40000000.0,success,2,Health Care & Biotechnology,2431.0,565.0,25,North America
1231,5,5,5,5,CollabNet,29600000.0,success,5,Information Technology,1360.0,4038.0,23,North America
1232,2,1,2,0,Collaborate.com,2350000.0,success,3,Information Technology,59.0,489.0,11,North America
1233,2,5,0,1,CollabRx,1564572.0,success,1,Health Care & Biotechnology,1199.0,0.0,14,North America
1234,5,2,5,4,Collective Intellect,15324624.0,success,6,Data Science,396.0,2501.0,17,North America
1235,1,0,2,1,College Snack Attack,50000.0,failure,2,Services,0.0,120.0,12,North America
1236,2,2,0,0,collegefeed,1800000.0,success,1,Services,231.0,0.0,9,North America
1237,1,0,0,1,CollegeJobConnect,20000.0,failure,1,Education,0.0,0.0,12,North America
1238,1,2,3,0,CollegeMapper,320000.0,failure,3,Education,524.0,683.0,11,North America
1239,8,6,5,4,Collegium Pharmaceutical,103000000.0,success,6,Health Care & Biotechnology,1767.0,3049.0,20,North America
1240,1,0,0,1,Collexpo,225000.0,failure,1,Commerce & Marketing,0.0,0.0,14,North America
1241,2,2,2,1,Collider Media,6201649.0,success,2,Media & Publishing,517.0,492.0,13,North America
1242,7,2,0,1,Color Labs Inc.,41000000.0,failure,1,Commerce & Marketing,234.0,0.0,12,North America
1243,1,5,0,1,ColorModules,1300000.0,failure,1,Consumer Goods,908.0,0.0,12,North America
1244,1,7,0,4,COLOURlovers,1000000.0,success,1,Media & Publishing,1979.0,0.0,17,North America
1245,7,5,4,5,Colubris Networks,42000000.0,success,3,Information Technology,1528.0,959.0,22,North America
1246,7,5,5,4,CoLucid Pharmaceuticals,80799980.0,success,5,Health Care & Biotechnology,1277.0,2387.0,17,North America
1247,2,7,0,5,Com2uS Corp.,8000000.0,success,1,Game & Applications,2596.0,0.0,24,North America
1248,2,7,2,5,CombineNet,5191392.0,success,3,Information Technology,3444.0,368.0,22,North America
1249,8,8,0,6,Comcast,725000000.0,success,1,Information Technology,18390.0,0.0,59,North America
1250,2,5,4,2,Comixology,3496222.0,success,6,Consumer Goods,853.0,1461.0,15,North America
1251,3,7,0,5,Commerce One,10000000.0,success,1,Commerce & Marketing,3478.0,0.0,28,North America
1252,2,7,0,5,"Commerciant, LP",2500000.0,success,1,Services,2174.0,0.0,22,North America
1253,6,5,0,5,Commnet Wireless,38730470.0,success,1,Commerce & Marketing,1452.0,0.0,22,North America
1254,8,8,0,6,CommScope,100000000.0,success,1,Media & Publishing,12135.0,0.0,46,North America
1255,8,7,5,5,CYREN,96100000.0,success,3,Information Technology,3114.0,5880.0,31,North America
1256,5,8,4,6,Communication Intelligence,15112330.0,failure,7,Information Technology,10381.0,1446.0,41,North America
1257,6,7,0,5,Communication Synergy Technologies,38730470.0,failure,1,Information Technology,2525.0,0.0,23,North America
1258,1,2,0,0,Community Informatics,125000.0,failure,1,Data Science,221.0,0.0,10,North America
1259,5,2,4,1,Compass Labs,12000000.0,failure,3,Media & Publishing,269.0,872.0,13,North America
1260,2,2,0,0,Compass Quality Insight Inc.,2000000.0,failure,1,Information Technology,527.0,0.0,10,North America
1261,5,2,4,4,Compassoft,11000000.0,success,2,Information Technology,581.0,1379.0,20,North America
1262,5,2,4,4,Compellent Technologies,29310000.0,success,2,Privacy and Security,563.0,1165.0,20,North America
1263,2,1,4,2,Compendium,3802024.0,success,4,Media & Publishing,118.0,2099.0,15,North America
1264,5,2,5,5,Compete,33000000.0,success,4,Media & Publishing,305.0,2464.0,22,North America
1265,8,0,4,2,Complete Genomics,104490060.0,success,4,Health Care & Biotechnology,0.0,1605.0,15,North America
1266,5,5,4,4,Compliance 11,12530000.0,success,3,Transportation,668.0,1553.0,17,North America
1267,1,0,0,0,Comply7,1200000.0,failure,1,Privacy and Security,0.0,0.0,8,North America
1268,5,0,5,4,Composite Software,31950004.0,success,5,Media & Publishing,0.0,3949.0,20,North America
1269,2,8,0,6,Comprehensive Care,1800000.0,success,1,Health Care & Biotechnology,15596.0,0.0,53,North America
1270,6,8,0,6,COMPS.com,38730470.0,success,1,Information Technology,4665.0,0.0,40,North America
1271,5,8,0,6,CompuPay,20000000.0,success,1,Services,10927.0,0.0,42,North America
1272,7,2,5,5,comScore,68239770.0,success,4,Services,397.0,3590.0,23,North America
1273,6,7,0,5,Comverge,38730470.0,success,1,Information Technology,2462.0,0.0,25,North America
1274,2,0,2,0,Concept.io,7200000.0,success,2,Media & Publishing,0.0,564.0,10,North America
1275,8,2,4,3,Concert Pharmaceuticals,99500000.0,success,4,Health Care & Biotechnology,197.0,1799.0,16,North America
1276,8,8,2,5,Concur Technologies,291754080.0,success,2,Information Technology,5860.0,234.0,29,North America
1277,2,0,3,0,Concurix Corporation,3000000.0,failure,2,Information Technology,0.0,722.0,10,North America
1278,1,0,0,0,Conexus-IT,500000.0,failure,1,Community and Lifestyle,0.0,0.0,11,North America
1279,1,2,0,3,Confabb,200000.0,failure,1,Community and Lifestyle,426.0,0.0,16,North America
1280,5,7,4,5,Confirma,20500000.0,success,2,Health Care & Biotechnology,2163.0,1497.0,24,North America
1281,8,7,4,4,ConforMIS,219100000.0,success,3,Health Care & Biotechnology,2048.0,1453.0,18,North America
1282,2,2,0,2,Conformity,3000000.0,failure,1,Information Technology,577.0,0.0,15,North America
1283,1,5,0,1,Connected,500000.0,success,1,Community and Lifestyle,909.0,0.0,13,North America
1284,5,7,5,5,Connecture,23500000.0,success,2,Information Technology,2345.0,2631.0,23,North America
1285,2,8,3,5,Connexity,5000000.0,success,3,Media & Publishing,4860.0,651.0,25,North America
1286,1,5,0,0,Conscious Box,1384000.0,success,1,Commerce & Marketing,666.0,0.0,11,North America
1287,7,5,4,4,ConSentry Networks,67400000.0,failure,4,Services,778.0,1281.0,19,North America
1288,2,2,0,4,Consera Software,8500000.0,success,1,Information Technology,440.0,0.0,20,North America
1289,5,5,3,1,Consert,33048484.0,success,4,Information Technology,717.0,844.0,14,North America
1290,1,5,0,0,Consumr,565000.0,success,1,Commerce & Marketing,703.0,0.0,11,North America
1291,4,2,2,4,Consorte Media,10200000.0,success,2,Media & Publishing,507.0,376.0,17,North America
1292,2,6,5,5,Constant Contact,8159714.0,success,2,Media & Publishing,1797.0,2739.0,24,North America
1293,7,8,0,6,Constella Group,61000000.0,success,1,Health Care & Biotechnology,8056.0,0.0,39,North America
1294,5,8,4,5,Construction Software Technologies,13154038.0,success,2,Real Estate,5082.0,921.0,29,North America
1295,6,2,0,0,Consulted,38730470.0,failure,1,Services,181.0,0.0,8,North America
1296,7,2,4,0,Consumer Agent Portal (CAP),40600000.0,failure,4,Information Technology,241.0,968.0,11,North America
1297,2,7,0,4,Contact At Once!,3000000.0,success,1,Messaging and Telecommunication,2684.0,0.0,17,North America
1298,2,7,0,5,Contactual,9000000.0,success,1,Information Technology,2307.0,0.0,22,North America
1299,1,1,2,0,ContactUs.com,1000000.0,success,3,Media & Publishing,75.0,329.0,10,North America
1300,1,1,0,2,Content Circles,250000.0,failure,1,Other,54.0,0.0,15,North America
1301,1,3,2,0,Content Savvy,992250.0,success,3,Data Science,587.0,348.0,11,North America
1302,5,2,5,3,ConteXtream,23817000.0,success,3,Information Technology,516.0,2131.0,16,North America
1303,7,6,5,5,ContextWeb,63500000.0,failure,5,Media & Publishing,1613.0,2668.0,22,North America
1304,1,1,0,0,Contigo Financial,15000.0,success,1,Services,118.0,0.0,10,North America
1305,2,2,0,4,Continuent,5750000.0,failure,1,Electronics,578.0,0.0,18,North America
1306,1,3,0,0,ContinuityX Solutions,1125000.0,failure,1,Information Technology,590.0,0.0,11,North America
1307,5,2,2,0,ContraVir Pharmaceuticals,16967648.0,success,3,Health Care & Biotechnology,409.0,243.0,9,North America
1308,7,3,5,4,Control4,93000000.0,success,7,Information Technology,595.0,2658.0,19,North America
1309,2,2,4,1,ControlScan,8247532.0,failure,5,Privacy and Security,521.0,1694.0,14,North America
1310,6,2,0,0,Contur,38730470.0,failure,1,Information Technology,386.0,0.0,11,North America
1311,2,0,4,1,Convertro,5000000.0,success,3,Media & Publishing,0.0,1474.0,13,North America
1312,7,5,5,5,Convio,42750000.0,success,4,Information Technology,818.0,2239.0,23,North America
1313,6,0,0,1,Cookstr,38730470.0,success,1,Information Technology,0.0,0.0,14,North America
1314,5,2,4,3,Cooliris,28100000.0,success,3,Information Technology,546.0,1324.0,16,North America
1315,7,5,4,4,Copan Systems,71426630.0,success,4,Data Science,1527.0,1268.0,20,North America
1316,2,5,2,1,Copilot Labs,4899605.0,success,3,Commerce & Marketing,895.0,480.0,12,North America
1317,2,2,2,1,CopperEgg Corporation,4100000.0,success,2,Information Technology,406.0,301.0,12,North America
1318,5,7,3,5,Coradiant,27700000.0,success,2,Information Technology,2060.0,674.0,22,North America
1319,6,1,0,2,coRank,38730470.0,failure,1,Information Technology,61.0,0.0,15,North America
1320,1,8,0,4,Cord Blood America,724000.0,success,1,Health Care & Biotechnology,4500.0,0.0,19,North America
1321,5,7,0,5,Cord Blood Registry,18000000.0,success,1,Health Care & Biotechnology,3765.0,0.0,30,North America
1322,5,7,0,5,Corechange,25000000.0,success,1,Services,1947.0,0.0,26,North America
1323,7,7,3,5,Coremetrics,91000000.0,success,2,Media & Publishing,2624.0,757.0,23,North America
1324,2,8,0,5,CoreObjects Software,2000000.0,success,1,Information Technology,4564.0,0.0,25,North America
1325,5,2,4,2,CoreTrace,20404494.0,success,5,Privacy and Security,312.0,1736.0,15,North America
1326,5,7,4,5,Corindus,36617910.0,success,3,Manufacturing,3243.0,1759.0,21,North America
1327,7,5,3,5,Coriolis Networks,41300000.0,failure,2,Community and Lifestyle,1028.0,820.0,23,North America
1328,2,5,4,3,CorMedix,6469973.0,success,3,Health Care & Biotechnology,1412.0,1437.0,16,North America
1329,7,7,4,5,Cornerstone OnDemand,44700000.0,success,3,Services,2877.0,1283.0,23,North America
1330,2,5,4,1,Corona Labs,3000000.0,success,3,Information Technology,700.0,1079.0,14,North America
1331,7,5,3,3,Coronado Biosciences,62758536.0,success,5,Health Care & Biotechnology,1311.0,701.0,16,North America
1332,6,8,0,6,Corporate Lodging Consultants,38730470.0,success,1,Travel and Tourism,9676.0,0.0,45,North America
1333,2,7,5,5,CorrectNet,8620000.0,success,3,Data Science,1812.0,2948.0,25,North America
1334,5,0,5,3,Correlix,11400000.0,success,4,Information Technology,0.0,2551.0,16,North America
1335,5,7,3,5,Corrigo,20000000.0,success,2,Information Technology,2344.0,742.0,23,North America
1336,7,8,4,5,Corsair,80000000.0,success,2,Game & Applications,5647.0,1418.0,28,North America
1337,6,1,0,1,Cortex,38730470.0,failure,1,Information Technology,84.0,0.0,12,North America
1338,1,2,0,1,Cortex Healthcare,60000.0,failure,1,Information Technology,365.0,0.0,13,North America
1339,8,6,2,5,Cortina Systems,162000000.0,success,2,Information Technology,1682.0,397.0,21,North America
1340,2,4,0,4,Corvigo,5500000.0,success,1,Information Technology,629.0,0.0,20,North America
1341,1,1,0,1,CostumeWorks,175000.0,failure,1,Commerce & Marketing,61.0,0.0,14,North America
1342,5,0,4,1,Cotendo,36000000.0,success,4,Services,0.0,1261.0,14,North America
1343,2,2,0,0,"Coterie, Inc.",1500000.0,failure,1,Community and Lifestyle,173.0,0.0,10,North America
1344,1,2,0,1,CoTweet,1100000.0,success,1,Media & Publishing,189.0,0.0,13,North America
1345,2,2,0,1,CouchOne,2000000.0,failure,1,Information Technology,326.0,0.0,13,North America
1346,3,6,0,5,CounterStorm,9500000.0,success,1,Privacy and Security,1806.0,0.0,21,North America
1347,8,7,5,5,Quotient Technology,276760000.0,success,7,Media & Publishing,2680.0,2952.0,24,North America
1348,5,2,2,3,Covario,16000000.0,success,2,Media & Publishing,330.0,341.0,16,North America
1349,1,5,0,2,CoverItLive,1000000.0,success,1,Media & Publishing,759.0,0.0,15,North America
1350,5,7,0,4,Coverity,22000000.0,success,1,Information Technology,2222.0,0.0,20,North America
1351,5,5,5,4,Covestor,23850000.0,success,4,Services,881.0,2204.0,17,North America
1352,2,7,0,5,CoWare,7000000.0,success,1,Information Technology,3852.0,0.0,25,North America
1353,2,1,0,0,Cozi,5800000.0,success,1,Events,1.0,0.0,9,North America
1354,5,2,5,4,Cozi Group,29557588.0,failure,8,Information Technology,273.0,2583.0,17,North America
1355,5,7,3,5,CPower,27680000.0,success,2,Information Technology,2826.0,578.0,22,North America
1356,2,7,2,4,Cramster,9000000.0,success,2,Information Technology,2459.0,566.0,20,North America
1357,2,2,2,0,Crashlytics,6000000.0,success,2,Electronics,254.0,180.0,11,North America
1358,2,2,0,0,"CreateTV, INC",2250000.0,failure,1,Services,191.0,0.0,7,North America
1359,6,2,0,2,Creative Citizen,38730470.0,failure,1,Sustainability,275.0,0.0,15,North America
1360,1,5,0,3,Creative Logic Media,50000.0,failure,1,Services,912.0,0.0,16,North America
1361,2,1,2,0,Creative Market,2300000.0,success,2,Media & Publishing,49.0,464.0,11,North America
1362,5,5,5,5,CREDANT Technologies,21000000.0,success,3,Privacy and Security,708.0,2283.0,21,North America
1363,1,2,2,1,Credit Coach,1000000.0,failure,2,Services,348.0,228.0,14,North America
1364,7,7,0,4,CreditCards.com,58800000.0,success,1,Services,2206.0,0.0,18,North America
1365,8,8,3,6,Cree,241039700.0,success,2,Information Technology,8993.0,850.0,35,North America
1366,8,7,4,4,Crescendo Bioscience,161600000.0,success,5,Health Care & Biotechnology,2369.0,1651.0,20,North America
1367,5,7,3,5,CRI Technologies,11000000.0,failure,2,Services,2443.0,680.0,21,North America
1368,5,5,2,2,PublicEngines,16494801.0,success,3,Information Technology,823.0,147.0,15,North America
1369,1,0,0,2,CriticalMetrics,100000.0,failure,1,Information Technology,0.0,0.0,15,North America
1370,6,1,0,1,Crocodoc,38730470.0,success,1,Information Technology,59.0,0.0,12,North America
1371,8,8,0,4,Crocs,200000000.0,success,1,Clothing and Apparel,4382.0,0.0,20,North America
1372,1,2,0,1,Crono,25000.0,failure,1,Information Technology,182.0,0.0,14,North America
1373,5,7,2,5,Crossbeam Systems,24500000.0,success,2,Privacy and Security,2684.0,282.0,22,North America
1374,5,7,4,5,Crossbow Technologies,13020000.0,success,2,Manufacturing,3811.0,1400.0,27,North America
1375,5,7,3,4,Crossing Automation,13205000.0,success,2,Media & Publishing,1951.0,813.0,19,North America
1376,5,8,4,5,CROSSROADS SYSTEMS,36102810.0,success,5,Data Science,5773.0,1270.0,27,North America
1377,1,2,2,0,CrossWorld Warranty,200000.0,failure,2,Electronics,477.0,115.0,10,North America
1378,6,2,0,0,OurExchange.com,38730470.0,success,1,Services,365.0,0.0,9,North America
1379,2,5,0,2,Crowdcast,6000000.0,success,1,Other,1256.0,0.0,15,North America
1380,1,5,0,1,CrowdCompass,1300000.0,success,1,Information Technology,984.0,0.0,13,North America
1381,5,0,3,1,Crowd Factory,12035360.0,success,2,Media & Publishing,0.0,786.0,13,North America
1382,3,5,4,1,CrowdGather,9458000.0,success,3,Media & Publishing,1032.0,1582.0,14,North America
1383,1,2,2,0,CrowdHall,770000.0,failure,2,Commerce & Marketing,213.0,250.0,10,North America
1384,1,1,0,1,CrowdMob,1000000.0,failure,1,Media & Publishing,122.0,0.0,12,North America
1385,1,0,3,0,CrowdPC,880000.0,failure,3,Services,0.0,851.0,10,North America
1386,2,4,3,1,CrowdSavings.com,5126000.0,success,3,Commerce & Marketing,612.0,574.0,13,North America
1387,1,1,0,0,CrowdSling,40000.0,failure,1,Media & Publishing,121.0,0.0,11,North America
1388,6,0,0,1,CrowdZone,38730470.0,failure,1,Information Technology,0.0,0.0,13,North America
1389,5,1,5,1,Crunchyroll,26799992.0,success,3,Game & Applications,31.0,2849.0,14,North America
1390,6,5,2,5,CryoCor,39500000.0,success,2,Health Care & Biotechnology,758.0,494.0,22,North America
1391,1,1,0,0,CryptoSeal,280000.0,success,1,Community and Lifestyle,29.0,0.0,11,North America
1392,5,3,3,5,CSR,19074918.0,success,2,Other,609.0,767.0,23,North America
1393,8,8,0,6,CSX Corporation,300000000.0,success,1,Transportation,8459.0,0.0,42,North America
1394,1,1,0,0,Cubby,65000.0,failure,1,Other,75.0,0.0,11,North America
1395,6,1,0,0,Cuberon,38730470.0,failure,1,Data Science,136.0,0.0,7,North America
1396,5,5,3,4,CubeTree,11500000.0,success,3,Other,1492.0,640.0,18,North America
1397,1,1,2,1,Cubicl,130000.0,failure,2,Media & Publishing,61.0,243.0,13,North America
1398,1,1,0,0,Cubikal,10000.0,failure,1,Electronics,9.0,0.0,10,North America
1399,1,1,0,0,Cucumbertown,300000.0,success,1,Media & Publishing,18.0,0.0,10,North America
1400,2,1,2,1,Cue,4715000.0,success,3,Information Technology,31.0,365.0,12,North America
1401,5,5,2,4,Cuil,33000000.0,failure,2,Information Technology,789.0,411.0,17,North America
1402,6,1,0,0,Culture Kitchen,38730470.0,failure,1,Food & Agriculture,69.0,0.0,11,North America
1403,1,5,0,1,Cumulux,650000.0,success,1,Information Technology,847.0,0.0,14,North America
1404,3,5,3,1,CÃR Media,9750000.0,success,2,Media & Publishing,1162.0,753.0,13,North America
1405,6,2,0,1,curated.by,38730470.0,failure,1,Information Technology,549.0,0.0,13,North America
1406,2,5,0,4,Curbed Network,1500000.0,success,1,Media & Publishing,1369.0,0.0,18,North America
1407,6,1,0,0,Curbsy,38730470.0,failure,1,Information Technology,14.0,0.0,11,North America
1408,5,7,3,5,Curis,22964000.0,success,4,Health Care & Biotechnology,3695.0,777.0,22,North America
1409,5,2,0,4,Current Media,15000000.0,failure,1,Media & Publishing,209.0,0.0,17,North America
1410,1,0,0,0,Cuturia,200000.0,failure,1,Clothing and Apparel,0.0,0.0,10,North America
1411,5,2,4,1,CV Ingenuity,32676154.0,failure,4,Health Care & Biotechnology,511.0,1339.0,14,North America
1412,8,2,5,5,Cvent,136912000.0,success,3,Events,580.0,4155.0,23,North America
1413,2,7,0,5,CYA Technologies,3000000.0,success,1,Information Technology,3521.0,0.0,24,North America
1414,8,2,5,3,Cyan,130082104.0,success,7,Information Technology,257.0,3021.0,16,North America
1415,7,7,4,5,CyberArk,43000000.0,success,2,Privacy and Security,2795.0,1942.0,23,North America
1416,5,7,3,4,CyberDefender,13210580.0,failure,7,Information Technology,2340.0,825.0,19,North America
1417,5,2,0,5,Cybrant,15000000.0,success,1,Services,395.0,0.0,23,North America
1418,6,8,0,6,Cycle Gear,38730470.0,success,1,Transportation,11355.0,0.0,48,North America
1419,8,8,5,5,CymaBay Therapeutics,171505700.0,success,8,Health Care & Biotechnology,4623.0,4368.0,31,North America
1420,2,2,5,4,Cymphonix,6623651.0,success,3,Information Technology,497.0,2191.0,18,North America
1421,7,7,4,5,Cyntellect,42600000.0,failure,4,Health Care & Biotechnology,3857.0,1087.0,25,North America
1422,7,7,4,5,CyOptics,77000000.0,success,2,Media & Publishing,2469.0,1939.0,23,North America
1423,1,5,0,3,Cyren Call Communications,170000.0,failure,1,Services,1394.0,0.0,16,North America
1424,8,7,4,5,CyrusOne,150600000.0,success,2,Information Technology,3621.0,1774.0,22,North America
1425,1,2,0,0,Cyto Wave Technologies,965000.0,failure,1,Health Care & Biotechnology,459.0,0.0,10,North America
1426,8,5,4,1,CytomX Therapeutics,133500000.0,success,5,Health Care & Biotechnology,792.0,1931.0,14,North America
1427,7,8,4,5,Cytori Therapeutics,54751700.0,success,4,Health Care & Biotechnology,4929.0,1926.0,26,North America
1428,1,2,0,1,CytoSolv,500000.0,success,1,Health Care & Biotechnology,404.0,0.0,13,North America
1429,6,8,0,6,CytoSport,38730470.0,success,1,Consumer Goods,6761.0,0.0,34,North America
1430,5,5,4,1,CyVek,22304410.0,success,5,Health Care & Biotechnology,773.0,1515.0,14,North America
1431,8,1,0,1,Dun & Bradstreet Credibility Corporation,200000000.0,success,1,Other,28.0,0.0,12,North America
1432,2,2,2,3,D2C Games,7500000.0,failure,2,Game & Applications,360.0,245.0,16,North America
1433,1,1,0,0,D7 Sounds LLC,25000.0,failure,1,Media & Publishing,92.0,0.0,7,North America
1434,1,2,2,0,D8A Group,45000.0,failure,2,Data Science,258.0,261.0,11,North America
1435,5,5,3,1,Dachis Group,37500000.0,success,2,Media & Publishing,1099.0,806.0,14,North America
1436,2,8,0,6,Daegis,4000000.0,success,1,Information Technology,11518.0,0.0,42,North America
1437,2,2,2,1,DailyBooth,7015000.0,success,3,Media & Publishing,171.0,566.0,13,North America
1438,1,2,2,2,DailyBurn,540000.0,success,2,Other,213.0,390.0,15,North America
1439,6,1,0,1,Dailysingle,38730470.0,failure,1,Information Technology,3.0,0.0,13,North America
1440,2,2,0,3,DailyStrength,5000000.0,success,1,Information Technology,412.0,0.0,16,North America
1441,2,1,2,2,DanceJam,4500000.0,failure,2,Media & Publishing,30.0,276.0,15,North America
1442,1,2,0,0,Dandelion,50000.0,success,1,Media & Publishing,257.0,0.0,8,North America
1443,8,2,5,5,Danger,118300000.0,success,5,Information Technology,296.0,2251.0,23,North America
1444,1,0,2,1,Danger Room Gaming,355000.0,failure,2,Game & Applications,0.0,244.0,13,North America
1445,7,7,4,5,Danotek Motion Technologies,42700000.0,failure,3,Information Technology,2879.0,1014.0,21,North America
1446,2,1,2,3,Dapper,4000000.0,success,2,Media & Publishing,71.0,355.0,16,North America
1447,5,7,4,5,Daptiv,30500000.0,success,4,Other,2948.0,1449.0,25,North America
1448,5,5,0,4,Darkstrand,12000000.0,failure,1,Information Technology,1396.0,0.0,17,North America
1449,2,5,3,3,Dashwire,3859459.0,success,2,Electronics,1006.0,594.0,16,North America
1450,5,5,0,5,Data Domain,17000000.0,success,1,Information Technology,807.0,0.0,21,North America
1451,6,1,0,1,Data Marketplace,38730470.0,success,1,Information Technology,60.0,0.0,12,North America
1452,5,5,5,5,DataCert,17500000.0,success,3,Services,1251.0,2213.0,24,North America
1453,7,2,4,4,DATAllegro,63100000.0,success,4,Information Technology,365.0,1629.0,19,North America
1454,7,7,4,4,Datalogix,86545840.0,success,6,Media & Publishing,2845.0,1750.0,20,North America
1455,2,0,0,0,DataPad,1700000.0,success,1,Data Science,0.0,0.0,9,North America
1456,2,2,4,1,DataPop,9200000.0,success,3,Media & Publishing,426.0,1149.0,14,North America
1457,2,8,2,6,Dataram,7000000.0,success,2,Electronics,17460.0,294.0,55,North America
1458,2,2,3,0,DataRank,1588000.0,success,3,Information Technology,503.0,783.0,11,North America
1459,1,5,0,3,DataRose,100000.0,failure,1,Information Technology,1439.0,0.0,16,North America
1460,5,2,0,5,DataSynapse,15000000.0,success,1,Information Technology,527.0,0.0,22,North America
1461,1,5,0,1,DataVote,100000.0,failure,1,Data Science,638.0,0.0,12,North America
1462,7,8,0,6,Datawatch Corp,57500000.0,success,1,Information Technology,10641.0,0.0,37,North America
1463,1,2,0,0,DateBox,50000.0,failure,1,Community and Lifestyle,431.0,0.0,8,North America
1464,1,1,0,0,DateMyFamily.com,100000.0,failure,1,Community and Lifestyle,20.0,0.0,11,North America
1465,1,7,0,4,Daybreak Intellectual Capital Solutions,50000.0,failure,1,Information Technology,3167.0,0.0,20,North America
1466,5,2,3,3,Daylife,12300000.0,success,2,Information Technology,426.0,746.0,16,North America
1467,1,1,0,0,Dazzling Beauty Group,150000.0,failure,1,Consumer Goods,58.0,0.0,11,North America
1468,1,3,0,0,Deal Decor,1200000.0,failure,1,Commerce & Marketing,600.0,0.0,11,North America
1469,1,0,2,0,DealAngel,868000.0,failure,3,Services,0.0,443.0,11,North America
1470,6,0,0,1,DealBird,38730470.0,failure,1,Transportation,0.0,0.0,12,North America
1471,2,7,3,5,Dealer.com,5000000.0,success,2,Media & Publishing,4088.0,587.0,24,North America
1472,8,7,0,5,Dealer Tire,157866380.0,success,1,Transportation,3934.0,0.0,23,North America
1473,8,2,5,5,Dealertrack,436180930.0,success,2,Services,455.0,4357.0,21,North America
1474,1,1,0,1,DealitLive.com,300000.0,failure,1,Information Technology,43.0,0.0,14,North America
1475,6,1,0,1,DealPerk,38730470.0,success,1,Commerce & Marketing,59.0,0.0,12,North America
1476,2,2,0,1,Local Offer Network,1500000.0,success,1,Media & Publishing,453.0,0.0,12,North America
1477,2,8,2,5,Debt Resolve,1675000.0,success,2,Information Technology,4811.0,173.0,25,North America
1478,6,2,0,1,Debteye,38730470.0,failure,1,Information Technology,578.0,0.0,12,North America
1479,7,7,5,5,deCarta,56063148.0,success,6,Information Technology,3363.0,2680.0,26,North America
1480,5,0,4,0,Decide.com,16500000.0,success,3,Electronics,0.0,1155.0,11,North America
1481,6,5,0,0,Decisio Health,38730470.0,failure,1,Services,767.0,0.0,9,North America
1482,5,7,0,5,Decision Management International,14000000.0,success,1,Information Technology,3078.0,0.0,29,North America
1483,6,2,0,5,Decru,40000000.0,success,1,Electronics,577.0,0.0,21,North America
1484,2,5,2,0,Deep Forest Media,8207892.0,success,3,Information Technology,910.0,185.0,10,North America
1485,3,2,0,0,Defense.Net,9500000.0,success,1,Privacy and Security,248.0,0.0,10,North America
1486,1,5,0,1,Define My Style,690000.0,failure,1,Information Technology,669.0,0.0,12,North America
1487,5,2,4,4,Defywire,15100000.0,failure,3,Electronics,154.0,1392.0,19,North America
1488,2,7,0,4,Dejour Energy,1500000.0,success,1,Science & Engineering,3879.0,0.0,18,North America
1489,7,8,0,5,dELiAs,44100000.0,success,1,Commerce & Marketing,7726.0,0.0,29,North America
1490,6,2,0,4,delicious,38730470.0,success,1,Community and Lifestyle,578.0,0.0,19,North America
1491,2,0,0,1,Delphi,8000000.0,success,1,Transportation,0.0,0.0,13,North America
1492,2,8,0,6,Deltek,2000019.0,success,1,Information Technology,9858.0,0.0,39,North America
1493,5,2,4,3,Delve Networks,11567800.0,success,3,Media & Publishing,303.0,930.0,16,North America
1494,4,7,3,4,Demandforce,10119801.0,success,3,Information Technology,2557.0,654.0,19,North America
