,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
2251,Green Dot Corporation,33000000.0,success,4,Services,731.0,2891.0,23,North America
2252,Green Throttle Games,6000000.0,success,1,Game & Applications,182.0,0.0,10,North America
2253,GreenBytes,42500000.0,success,7,Information Technology,865.0,1651.0,15,North America
2254,GreenGoose!,1200000.0,failure,2,Information Technology,418.0,27.0,12,North America
2255,Greengro Technologies,875000.0,failure,1,Information Technology,6653.0,0.0,26,North America
2256,GreenNote,4200000.0,success,1,Education,183.0,0.0,15,North America
2257,Greenphire,5806037.0,success,2,Information Technology,1719.0,389.0,15,North America
2258,Greenplum Software,92899150.0,success,5,Data Science,1004.0,1112.0,19,North America
2259,GreenVolts,96800000.0,failure,5,Information Technology,1339.0,1308.0,17,North America
2260,Greenway Health,22000000.0,success,1,Services,3226.0,0.0,24,North America
2261,Greystripe,25107724.0,success,5,Media & Publishing,649.0,1056.0,17,North America
2262,GridApp Systems,5000000.0,success,2,Information Technology,918.0,360.0,20,North America
2263,GridCraft,2200000.0,success,1,Data Science,367.0,0.0,9,North America
2264,GridIron Systems,13000000.0,success,1,Data Science,1826.0,0.0,15,North America
2265,GridNetworks,20500000.0,failure,3,Services,731.0,870.0,18,North America
2266,GridPoint,307588900.0,success,11,Information Technology,1096.0,3104.0,19,North America
2267,gripNote,38730470.0,success,1,Education,76.0,0.0,11,North America
2268,Grocio,1375000.0,failure,3,Commerce & Marketing,537.0,608.0,15,North America
2269,Grockit,44720000.0,success,7,Other,31.0,2761.0,16,North America
2270,Grooveshark,4552414.0,failure,3,Information Technology,306.0,1429.0,16,North America
2271,GroSocial,2200000.0,success,3,Information Technology,444.0,230.0,12,North America
2272,Ground Zero Group Corporation,5000.0,failure,1,Services,0.0,0.0,13,North America
2273,GroundedPower,1268000.0,success,2,Information Technology,737.0,251.0,14,North America
2274,Group Commerce,39000000.0,failure,3,Commerce & Marketing,92.0,728.0,12,North America
2275,GroupCard,38730470.0,success,1,Design & Platforms,882.0,0.0,15,North America
2276,Grouply,2600000.0,failure,3,Community and Lifestyle,457.0,227.0,16,North America
2277,GroupMe,11450000.0,success,2,Information Technology,116.0,132.0,12,North America
2278,Groupon,1137000000.0,success,6,Media & Publishing,0.0,1516.0,14,North America
2279,GroupSwim,38730470.0,failure,1,Other,822.0,0.0,17,North America
2280,Grow Mobile,1000000.0,success,1,Commerce & Marketing,31.0,0.0,10,North America
2281,Growlife,204892080.0,success,15,Food & Agriculture,8791.0,1738.0,35,North America
2282,Grows Up,38730470.0,failure,1,Community and Lifestyle,0.0,0.0,12,North America
2283,Groxis,16000000.0,failure,2,Information Technology,1401.0,664.0,21,North America
2284,GrubHub,84100000.0,success,6,Services,1400.0,2120.0,18,North America
2285,Gruburg,3500.0,failure,1,Health Care & Biotechnology,40.0,0.0,12,North America
2286,Gruvie,38730470.0,failure,1,Community and Lifestyle,365.0,0.0,15,North America
2287,GT Advanced Technologies,83649920.0,success,2,Information Technology,6067.0,1021.0,28,North America
2288,GT Nexus,11753046.0,success,2,Information Technology,3377.0,1412.0,24,North America
2289,GT Solar,40000000.0,failure,1,Information Technology,5862.0,0.0,28,North America
2290,GTESS Corp,13500000.0,success,3,Information Technology,4315.0,804.0,32,North America
2291,Gtronix,23250000.0,failure,6,Media & Publishing,554.0,1869.0,19,North America
2292,Guaranteach,38730470.0,success,3,Information Technology,0.0,580.0,14,North America
2293,GuardianEdge Technologies,19500000.0,success,3,Information Technology,1252.0,777.0,20,North America
2294,Guardium,11800000.0,success,2,Information Technology,1319.0,278.0,20,North America
2295,Guava Technologies,17500000.0,success,3,Health Care & Biotechnology,1268.0,1596.0,24,North America
2296,Guerillapps,500000.0,failure,1,Game & Applications,944.0,0.0,14,North America
2297,Guguchu,38730470.0,failure,1,Consumer Goods,0.0,0.0,13,North America
2298,Guidance Software,7544031.0,success,1,Privacy and Security,5543.0,0.0,25,North America
2299,Guided Therapeutics,11082001.0,success,4,Health Care & Biotechnology,6827.0,1769.0,30,North America
2300,Gumiyo,38730470.0,success,1,Information Technology,334.0,0.0,16,North America
2301,Guru,16000000.0,success,1,Services,698.0,0.0,24,North America
2302,Gydget,1000000.0,success,2,Game & Applications,0.0,457.0,15,North America
2303,Habeas,6000000.0,success,1,Information Technology,1674.0,0.0,20,North America
2304,Hackermeter,38730470.0,success,1,Services,0.0,0.0,9,North America
2305,HackHands,175000.0,success,1,Information Technology,339.0,0.0,9,North America
2306,HackPad,38730470.0,success,1,Information Technology,121.0,0.0,11,North America
2307,Hadapt,16200000.0,success,2,Data Science,658.0,384.0,12,North America
2308,Hall,6080000.0,success,3,Other,243.0,691.0,11,North America
2309,HAM-IT,340000.0,failure,1,Media & Publishing,0.0,0.0,14,North America
2310,Hammerhead Systems,73000000.0,failure,3,Information Technology,755.0,1283.0,20,North America
2311,Handmade Mobile,15391438.0,failure,3,Community and Lifestyle,0.0,1487.0,8,North America
2312,Handmark,10000000.0,success,2,Electronics,1899.0,360.0,22,North America
2313,Hands-On Mobile,30000000.0,success,1,Game & Applications,1738.0,0.0,21,North America
2314,HandsFree Networks,4000000.0,failure,1,Information Technology,4912.0,0.0,23,North America
2315,Hansen Medical,115971250.0,success,5,Health Care & Biotechnology,3628.0,1203.0,20,North America
2316,Happy Tom,43000.0,success,1,Consumer Goods,0.0,0.0,8,North America
2317,Hara,45000000.0,success,3,Information Technology,500.0,732.0,14,North America
2318,Harbinger Medical,550000.0,failure,1,Health Care & Biotechnology,6324.0,0.0,29,North America
2319,HardMetrics,2000000.0,success,1,Information Technology,1434.0,0.0,19,North America
2320,Harmonix Music Systems,15045983.0,success,5,Game & Applications,513.0,7038.0,27,North America
2321,Harmony Information Systems,42000000.0,success,4,Information Technology,3267.0,1829.0,24,North America
2322,Harper Love Adhesive,38730470.0,failure,1,Services,13266.0,0.0,44,North America
2323,Hashable,4000000.0,failure,3,Information Technology,0.0,738.0,12,North America
2324,"Hashtaggy, Inc.",20000.0,failure,1,Electronics,55.0,0.0,7,North America
2325,HashTip,200000.0,failure,1,Information Technology,20.0,0.0,10,North America
2326,Hatch Marketing Plans,38730470.0,failure,1,Services,44.0,0.0,7,North America
2327,Hatcher Associates,38730470.0,success,1,Services,885.0,0.0,26,North America
2328,Hatteras Networks,36000000.0,success,2,Information Technology,1985.0,358.0,22,North America
2329,Haute Secure,2100000.0,success,2,Privacy and Security,365.0,798.0,16,North America
2330,HauteLook,41000000.0,success,2,Commerce & Marketing,528.0,387.0,15,North America
2331,HayMap LLC,38730470.0,failure,1,Information Technology,0.0,0.0,7,North America
2332,HCI,38730470.0,success,1,Transportation,2144.0,0.0,14,North America
2333,HeadCase Humanufacturing,900000.0,failure,1,Information Technology,239.0,0.0,16,North America
2334,HeadMix,660000.0,failure,1,Information Technology,1038.0,0.0,15,North America
2335,Headplay,10814672.0,failure,4,Game & Applications,4507.0,156.0,24,North America
2336,HeadSprout,10356751.0,success,3,Information Technology,998.0,3089.0,23,North America
2337,Headstrong,75000.0,success,1,Services,10641.0,0.0,41,North America
2338,HeadsUP!,100000.0,failure,1,Services,110.0,0.0,9,North America
2339,Healogica,890000.0,failure,2,Health Care & Biotechnology,142.0,393.0,15,North America
2340,Health Benefits Direct,5400000.0,failure,1,Services,2465.0,0.0,18,North America
2341,Health Diagnostic Laboratory,400000.0,success,1,Health Care & Biotechnology,470.0,0.0,14,North America
2342,Health Discovery,475000.0,success,1,Health Care & Biotechnology,3019.0,0.0,21,North America
2343,Health Guru Media Inc.,9450000.0,success,3,Education,0.0,1640.0,15,North America
2344,Health Hero Network(Bosch Healthcare),16000000.0,success,1,Information Technology,6895.0,0.0,34,North America
2345,Health Market Science,17939376.0,success,4,Data Science,2218.0,2034.0,23,North America
2346,HealthCare Partners,38730470.0,success,1,Services,4809.0,0.0,30,North America
2347,HealthcareSource,41200000.0,success,2,Information Technology,5889.0,997.0,30,North America
2348,HealthCentral,50000000.0,success,1,Health Care & Biotechnology,730.0,0.0,16,North America
2349,HealthEquity,12500000.0,success,1,Health Care & Biotechnology,3538.0,0.0,20,North America
2350,HealthFusion,2242196.0,success,2,Information Technology,4386.0,925.0,24,North America
2351,HealthLok,38730470.0,failure,2,Health Care & Biotechnology,0.0,730.0,14,North America
2352,HealthPocket,2000000.0,success,1,Information Technology,234.0,0.0,10,North America
2353,Healthrageous,15000000.0,failure,3,Information Technology,553.0,702.0,12,North America
2354,HealthRally,400000.0,failure,2,Community and Lifestyle,640.0,31.0,12,North America
2355,HealthSpring,3700000.0,success,1,Health Care & Biotechnology,4918.0,0.0,22,North America
2356,HealthStream,2400000.0,success,1,Information Technology,8843.0,0.0,32,North America
2357,HealthWarehouse.com,17620400.0,success,7,Commerce & Marketing,606.0,1947.0,15,North America
2358,Healthways,25000000.0,success,2,Sports,11212.0,750.0,41,North America
2359,HealthyOut,38730470.0,success,1,Health Care & Biotechnology,379.0,0.0,10,North America
2360,Healvo,210000.0,failure,2,Services,0.0,20.0,7,North America
2361,Heartscape,16980998.0,success,1,Health Care & Biotechnology,2670.0,0.0,22,North America
2362,"Heartscape Technologies, Inc.",18400000.0,failure,2,Health Care & Biotechnology,0.0,562.0,17,North America
2363,HeartThis,2000000.0,success,1,Commerce & Marketing,81.0,0.0,9,North America
2364,HeartWare International,55000000.0,success,1,Information Technology,2052.0,0.0,18,North America
2365,Heat Biologics,15599800.0,success,4,Health Care & Biotechnology,687.0,1741.0,14,North America
2366,"Helbiz, Inc.",250000.0,failure,1,Commerce & Marketing,4.0,0.0,7,North America
2367,Heliae,123400000.0,failure,3,Health Care & Biotechnology,1583.0,489.0,14,North America
2368,Helicomm,1000000.0,failure,1,Information Technology,1540.0,0.0,20,North America
2369,Heliotrope Technologies,11482.0,failure,2,Information Technology,214.0,365.0,10,North America
2370,Helix Therapeutics,3362500.0,failure,3,Health Care & Biotechnology,1173.0,614.0,16,North America
2371,Helixis,17333336.0,success,2,Health Care & Biotechnology,241.0,783.0,15,North America
2372,HellHouse Media,250000.0,failure,1,Services,1549.0,0.0,18,North America
2373,Hello Chair,889999.0,failure,2,Electronics,516.0,1046.0,16,North America
2374,Hello Giggles,38730470.0,success,1,Media & Publishing,1202.0,0.0,11,North America
2375,HelloWallet,16150000.0,success,3,Information Technology,428.0,692.0,13,North America
2376,Help Me Rent Magazine,500000.0,failure,1,Real Estate,212.0,0.0,12,North America
2377,Help/Systems,38730470.0,success,1,Information Technology,11064.0,0.0,40,North America
2378,HelpHive,250000.0,failure,1,Information Technology,182.0,0.0,14,North America
2379,HelpMeRent.com,154000.0,failure,1,Real Estate,304.0,0.0,12,North America
2380,"HelpSquad, LLC",500000.0,failure,1,Services,0.0,0.0,7,North America
2381,HerBabyShower,38730470.0,failure,1,Commerce & Marketing,3926.0,0.0,20,North America
2382,Heritage Pharmaceuticals,10000000.0,failure,1,Health Care & Biotechnology,1200.0,0.0,17,North America
2383,Heroku,13020000.0,success,3,Information Technology,184.0,860.0,15,North America
2384,Hersha Hospitality Trust,500000000.0,failure,1,Health Care & Biotechnology,5912.0,0.0,24,North America
2385,HESKA,3570000.0,success,1,Health Care & Biotechnology,5542.0,0.0,24,North America
2386,Heureka Software,1925000.0,failure,3,Information Technology,122.0,304.0,8,North America
2387,"Hey, Neighbor!",140000.0,failure,1,Other,365.0,0.0,12,North America
2388,HeyBubble,400000.0,success,2,Messaging and Telecommunication,76.0,0.0,11,North America
2389,Heysan,875000.0,success,2,Information Technology,1.0,183.0,15,North America
2390,hi5,52000000.0,success,4,Game & Applications,1308.0,1108.0,19,North America
2391,Hidden City Games,15000000.0,failure,1,Game & Applications,1399.0,0.0,18,North America
2392,HiddenMind Technology,50000000.0,success,1,Game & Applications,2356.0,0.0,28,North America
2393,HiGear,1300000.0,success,2,Transportation,120.0,159.0,11,North America
2394,High Gear Media,12000000.0,success,2,Transportation,304.0,607.0,15,North America
2395,High Street Partners,14300000.0,failure,2,Information Technology,3508.0,593.0,20,North America
2396,High Tower Software,1000000.0,success,1,Privacy and Security,2860.0,0.0,23,North America
2397,HighBeam Research,3100000.0,success,1,Information Technology,360.0,0.0,20,North America
2398,Higher One,38730470.0,success,3,Education,731.0,2404.0,22,North America
2399,HigherNext,1065000.0,success,4,Education,92.0,687.0,12,North America
2400,HighGround,10159999.0,success,3,Services,335.0,626.0,10,North America
2401,HighJump Software,10000000.0,success,1,Information Technology,6974.0,0.0,39,North America
2402,hint,5900000.0,failure,1,Information Technology,920.0,0.0,12,North America
2403,HipChat,100000.0,success,1,Messaging and Telecommunication,343.0,0.0,13,North America
2404,Hipcricket,17550000.0,success,3,Media & Publishing,1176.0,2399.0,18,North America
2405,Hiperos,38730470.0,success,1,Information Technology,1460.0,0.0,15,North America
2406,HipGeo,500000.0,failure,1,Travel and Tourism,262.0,0.0,12,North America
2407,HipLogic,14664565.0,success,2,Electronics,1133.0,663.0,17,North America
2408,Hipster,1000000.0,success,1,Information Technology,135.0,0.0,11,North America
2409,HireHive,38730470.0,failure,1,Other,0.0,0.0,11,North America
2410,HistoRx,13260546.0,success,4,Health Care & Biotechnology,257.0,2446.0,18,North America
2411,Hit Systems,125000.0,failure,1,Information Technology,0.0,0.0,14,North America
2412,Hitpost,2000000.0,success,3,Information Technology,275.0,846.0,13,North America
2413,Hive Media,1500000.0,failure,1,Game & Applications,1338.0,0.0,14,North America
2414,Hive7,38730470.0,success,1,Media & Publishing,0.0,0.0,16,North America
2415,HiWired,14000000.0,success,2,Information Technology,1461.0,1.0,18,North America
2416,HN Discounts Corporation,25000.0,failure,1,Commerce & Marketing,0.0,0.0,11,North America
2417,Hologic,450000000.0,success,1,Health Care & Biotechnology,9464.0,0.0,37,North America
2418,Home-Account,1000000.0,success,2,Services,166.0,91.0,14,North America
2419,Home Comfort Zones,1250000.0,success,1,Information Technology,3030.0,0.0,20,North America
2420,Home Decor Products,65000000.0,failure,1,Services,2544.0,0.0,22,North America
2421,Home Health Corporation of America,38730470.0,failure,1,Services,3833.0,0.0,40,North America
2422,HomeAway,504678370.0,success,5,Media & Publishing,0.0,2099.0,17,North America
2423,Homejoy,39700000.0,failure,5,Health Care & Biotechnology,0.0,1375.0,10,North America
2424,Homeowners of America Holding,4950000.0,success,1,Health Care & Biotechnology,304.0,0.0,17,North America
2425,HomeRun,38730470.0,success,1,Information Technology,497.0,0.0,13,North America
2426,HomeSphere,2000000.0,success,2,Information Technology,1250.0,2422.0,23,North America
2427,Honestly Now,38730470.0,failure,1,Media & Publishing,627.0,0.0,12,North America
2428,Honeywell,11400000.0,success,1,Manufacturing,8953.0,0.0,37,North America
2429,Honk,38730470.0,success,1,Transportation,71.0,0.0,13,North America
2430,Hoonto,38730470.0,failure,1,Services,264.0,0.0,10,North America
2431,HopeLab,9000000.0,failure,1,Health Care & Biotechnology,1461.0,0.0,21,North America
2432,"hopOn, Inc.",750000.0,success,1,Information Technology,588.0,0.0,9,North America
2433,Hoppit,500000.0,success,1,Information Technology,547.0,0.0,11,North America
2434,Hopscot.ch,50000.0,failure,1,Information Technology,23.0,0.0,12,North America
2435,Hopscotch,2000000.0,failure,2,Information Technology,455.0,1059.0,12,North America
2436,hopscout,1300000.0,failure,1,Commerce & Marketing,0.0,0.0,11,North America
2437,HopStop.com,2000000.0,success,2,Other,911.0,184.0,17,North America
2438,Horizon Pharma,492000000.0,success,4,Health Care & Biotechnology,933.0,2523.0,17,North America
2439,Horizon Wind Energy,318000000.0,success,2,Information Technology,4354.0,26.0,24,North America
2440,Horsehead Holding,50000000.0,success,1,Manufacturing,4243.0,0.0,19,North America
2441,Hortonworks,248000000.0,success,5,Data Science,0.0,1149.0,11,North America
2442,HotClickVideo,525000.0,failure,1,Commerce & Marketing,96.0,0.0,13,North America
2443,Hotelicopter,5000000.0,failure,2,Information Technology,900.0,864.0,16,North America
2444,Hotlist,1474998.0,failure,4,Education,121.0,1340.0,14,North America
2445,HotPads,2300000.0,success,1,Travel and Tourism,666.0,0.0,17,North America
2446,Hot Potato,1420000.0,success,1,Community and Lifestyle,328.0,0.0,13,North America
2447,Hotspur Technologies,10321150.0,success,5,Services,305.0,1035.0,14,North America
2448,HourVille,38730470.0,failure,1,Education,578.0,0.0,14,North America
2449,HouseFix,149996.0,failure,1,Community and Lifestyle,652.0,0.0,12,North America
2450,HouseValues,14500000.0,success,1,Manufacturing,1967.0,0.0,23,North America
2451,HowAboutWe,22300000.0,success,3,Information Technology,304.0,1120.0,13,North America
2452,HowStuffWorks,75000000.0,success,2,Information Technology,530.0,2492.0,23,North America
2453,Hoyos Corporation,40000000.0,failure,1,Information Technology,2110.0,0.0,17,North America
2454,HTG Molecular Diagnostics,47232376.0,success,5,Health Care & Biotechnology,5167.0,1282.0,25,North America
2455,Hubble Telemedical,1150000.0,success,4,Health Care & Biotechnology,517.0,634.0,11,North America
2456,hubbuzz.com,750000.0,failure,1,Information Technology,0.0,0.0,15,North America
2457,Hubkick,112500.0,failure,1,Information Technology,65.0,0.0,11,North America
2458,Hubspan,13000000.0,success,1,Information Technology,2113.0,0.0,22,North America
2459,HubSpot,100500000.0,success,6,Commerce & Marketing,0.0,2385.0,16,North America
2460,Huddler,22750000.0,success,3,Media & Publishing,396.0,975.0,15,North America
2461,"Hudooku, Inc.",175000.0,failure,1,Messaging and Telecommunication,0.0,0.0,8,North America
2462,The Huffington Post,37000000.0,success,5,Media & Publishing,0.0,1918.0,17,North America
2463,Hug Energy,600000.0,failure,1,Information Technology,304.0,0.0,13,North America
2464,Hughes Telematics,67255150.0,success,3,Electronics,1235.0,518.0,15,North America
2465,Hukkster,4500000.0,failure,3,Information Technology,227.0,483.0,10,North America
2466,Human Demand,1225000.0,success,2,Electronics,306.0,107.0,10,North America
2467,Human Network Labs,50000.0,failure,1,Information Technology,1221.0,0.0,15,North America
2468,Humanoid,1100000.0,success,2,Media & Publishing,608.0,183.0,14,North America
2469,Humedica,63000000.0,success,3,Health Care & Biotechnology,11231.0,928.0,43,North America
2470,Hunch,19200000.0,success,3,Information Technology,61.0,862.0,15,North America
2471,Hurricane Party,20000.0,failure,1,Commerce & Marketing,0.0,0.0,12,North America
2472,HX Diagnostics,7800000.0,failure,2,Health Care & Biotechnology,1143.0,225.0,16,North America
2473,hyaqu,500000.0,failure,1,Commerce & Marketing,0.0,0.0,11,North America
2474,HybridSite Web Services,38730470.0,success,1,Information Technology,0.0,0.0,9,North America
2475,Hycrete,15000000.0,success,1,Other,2018.0,0.0,19,North America
2476,Hygeia Personal Care Products,38730470.0,failure,1,Information Technology,1279.0,0.0,18,North America
2477,Hyper9,17200000.0,success,4,Information Technology,383.0,769.0,16,North America
2478,Hyperic,9900000.0,success,2,Information Technology,860.0,391.0,18,North America
2479,Hyperion Therapeutics,165961500.0,success,7,Health Care & Biotechnology,612.0,1521.0,16,North America
2480,Hyperion Solutions,38730470.0,success,1,Information Technology,3872.0,0.0,41,North America
2481,HyperQuality,15500000.0,success,2,Data Science,893.0,590.0,19,North America
2482,Hypertension Diagnostics,833600.0,success,1,Health Care & Biotechnology,8837.0,0.0,34,North America
2483,I Am Smart Technology,752000.0,failure,2,Information Technology,5.0,1314.0,14,North America
2484,I Just Shared,200000.0,failure,1,Community and Lifestyle,87.0,0.0,12,North America
2485,i-Nalysis,38730470.0,failure,1,Information Technology,721.0,0.0,14,North America
2486,I-Shake,38730470.0,failure,1,Game & Applications,0.0,0.0,13,North America
2487,I-Works,7000000.0,success,1,Information Technology,4188.0,0.0,33,North America
2488,i2we,750000.0,failure,1,Community and Lifestyle,532.0,0.0,15,North America
2489,ibabybox,25000.0,failure,1,Community and Lifestyle,193.0,0.0,9,North America
2490,iBiquity Digital Corporation,42477640.0,success,2,Media & Publishing,5152.0,1623.0,31,North America
2491,IC Media Corporation,22500000.0,success,1,Information Technology,2251.0,0.0,24,North America
2492,ICAgen,5000000.0,success,1,Health Care & Biotechnology,6473.0,0.0,30,North America
2493,iCentera,1500000.0,success,1,Information Technology,657.0,0.0,19,North America
2494,IceRocket,300000.0,success,1,Information Technology,182.0,0.0,18,North America
2495,iChange,2330500.0,success,4,Services,0.0,1144.0,14,North America
2496,iConclude,12500000.0,success,3,Information Technology,31.0,433.0,17,North America
2497,ICONIC,38730470.0,failure,1,Commerce & Marketing,73.0,0.0,9,North America
2498,ICONIX BRAND GROUP,8000000.0,success,1,Clothing and Apparel,1584.0,0.0,17,North America
2499,iContact,53400190.0,success,6,Information Technology,1034.0,1582.0,19,North America
2500,iCredit,150000.0,failure,1,Other,0.0,0.0,7,North America
2501,iCurrent,3000000.0,success,1,Media & Publishing,943.0,0.0,16,North America
2502,ID Analytics,35150000.0,success,3,Information Technology,120.0,1841.0,20,North America
2503,Ideal Power,8250000.0,success,4,Information Technology,1325.0,1091.0,15,North America
2504,IdeaOffer,38730470.0,failure,1,Information Technology,0.0,0.0,13,North America
2505,ideeli,106800000.0,success,5,Commerce & Marketing,334.0,2045.0,15,North America
2506,Identified,22500000.0,success,4,Data Science,0.0,886.0,12,North America
2507,Identiv,20000000.0,success,1,Privacy and Security,2648.0,0.0,15,North America
2508,Identyx,50000.0,success,1,Community and Lifestyle,0.0,0.0,16,North America
2509,Idera Pharmaceuticals,53800000.0,success,3,Health Care & Biotechnology,7688.0,1483.0,33,North America
2510,ididwork,38730470.0,failure,1,Information Technology,0.0,0.0,14,North America
2511,Idooble,400000.0,failure,2,Commerce & Marketing,0.0,577.0,13,North America
2512,IDverge,125000.0,failure,1,Privacy and Security,372.0,0.0,12,North America
2513,IES,38730470.0,success,1,Information Technology,197.0,0.0,12,North America
2514,iExplore,14000000.0,success,4,Travel and Tourism,305.0,790.0,23,North America
2515,IGA Worldwide,51357500.0,failure,4,Media & Publishing,396.0,1596.0,17,North America
2516,Iggli,38730470.0,failure,1,Community and Lifestyle,151.0,0.0,15,North America
2517,Ignyta,173500000.0,success,7,Health Care & Biotechnology,730.0,1050.0,11,North America
2518,iGroup Network,2240000.0,failure,2,Information Technology,516.0,224.0,16,North America
2519,iHookup Social,2297181.0,failure,2,Information Technology,842.0,478.0,10,North America
2520,iJET International,13500000.0,success,3,Data Science,903.0,4563.0,23,North America
2521,IKANO Communications,47500000.0,success,2,Information Technology,621.0,2057.0,23,North America
2522,Ikanos,90000000.0,failure,3,Information Technology,0.0,2117.0,13,North America
2523,Ikaria,344947200.0,success,3,Health Care & Biotechnology,0.0,1618.0,16,North America
2524,ikaSystems,147492740.0,success,3,Information Technology,4036.0,1457.0,23,North America
2525,iKoa,20700000.0,failure,4,Media & Publishing,528.0,1129.0,16,North America
2526,Ilesfay Technology Group,965000.0,success,2,Information Technology,974.0,214.0,13,North America
2527,iLEVEL Solutions,6000000.0,success,1,Information Technology,192.0,0.0,12,North America
2528,iLIANT,10000000.0,success,1,Information Technology,737.0,0.0,22,North America
2529,APOCOLOPS,16500000.0,success,3,Media & Publishing,0.0,1461.0,10,North America
2530,iLinc,2962500.0,success,1,Other,3988.0,0.0,24,North America
2531,Illume Software,6797785.0,failure,3,Information Technology,293.0,511.0,13,North America
2532,Illuminations,9000000.0,failure,1,Consumer Goods,2192.0,0.0,26,North America
2533,iLumin Software,8500000.0,success,1,Information Technology,2936.0,0.0,26,North America
2534,Imagekind,2600000.0,success,2,Media & Publishing,0.0,421.0,16,North America
2535,Imagimod,100000.0,failure,1,Game & Applications,498.0,0.0,9,North America
2536,Imagine Communications,34700000.0,success,4,Information Technology,0.0,1935.0,17,North America
2537,Imago Scientific Instruments,11633057.0,success,4,Data Science,1364.0,2542.0,23,North America
2538,iMapData,20769648.0,success,4,Data Science,6990.0,5382.0,40,North America
2539,IMedExchange,2624000.0,failure,2,Information Technology,533.0,507.0,15,North America
2540,imeem,27132128.0,success,6,Media & Publishing,305.0,1795.0,19,North America
2541,Imindi,500000.0,failure,2,Information Technology,0.0,486.0,14,North America
2542,Immco Diagnostics,38730470.0,success,1,Services,13486.0,0.0,51,North America
2543,Immune Control,11300000.0,success,1,Health Care & Biotechnology,1655.0,0.0,21,North America
2544,Immune Design,99031500.0,success,5,Health Care & Biotechnology,188.0,2166.0,14,North America
2545,Immune Pharmaceuticals,33200000.0,success,3,Health Care & Biotechnology,1528.0,507.0,12,North America
2546,Immunet Corporation,2000000.0,success,2,Information Technology,0.0,670.0,14,North America
2547,Immuno Gum,1200000.0,failure,1,Health Care & Biotechnology,1538.0,0.0,11,North America
2548,ImmunoGen,26000000.0,success,4,Health Care & Biotechnology,11122.0,188.0,41,North America
2549,Immunologix,1341116.0,success,3,Health Care & Biotechnology,530.0,495.0,14,North America
2550,Immunomedics,30000000.0,success,1,Health Care & Biotechnology,11634.0,0.0,40,North America
2551,Immunomic Therapeutics,6245999.0,failure,4,Health Care & Biotechnology,1912.0,1488.0,17,North America
2552,iMove,5717561.0,success,5,Information Technology,3469.0,3352.0,27,North America
2553,IMPAC Medical System,38730470.0,success,1,Information Technology,2473.0,0.0,32,North America
2554,Impact Products,38730470.0,failure,1,Services,17409.0,0.0,59,North America
2555,ImpactRx,4200000.0,success,3,Health Care & Biotechnology,851.0,2812.0,22,North America
2556,Impermium,9000000.0,success,2,Privacy and Security,361.0,143.0,12,North America
2557,Imperva,49000000.0,success,3,Privacy and Security,518.0,1771.0,20,North America
2558,Impeva,10000000.0,failure,1,Information Technology,1768.0,0.0,18,North America
2559,Imprimis Pharmaceuticals,22946180.0,success,2,Health Care & Biotechnology,5241.0,1099.0,24,North America
2560,Imprivata,23910000.0,success,2,Privacy and Security,1497.0,792.0,20,North America
2561,ImpulseSave,50000.0,success,3,Services,423.0,659.0,12,North America
2562,IMRIS Inc.,36834000.0,success,1,Health Care & Biotechnology,3189.0,0.0,17,North America
2563,IMRSV,3016969.0,success,7,Data Science,2.0,675.0,12,North America
2564,Inaura,8500000.0,failure,1,Information Technology,0.0,0.0,15,North America
2565,Incentive Targeting,3980000.0,success,2,Commerce & Marketing,1182.0,519.0,15,North America
2566,Incentivyze,500000.0,failure,1,Information Technology,89.0,0.0,9,North America
2567,IncentOne,38730470.0,success,1,Health Care & Biotechnology,4759.0,0.0,25,North America
2568,Incline Therapeutics,64940000.0,success,3,Health Care & Biotechnology,0.0,644.0,12,North America
2569,Inclinix,20596288.0,failure,3,Health Care & Biotechnology,4289.0,1359.0,23,North America
2570,inContact,35265624.0,success,3,Other,4746.0,1286.0,25,North America
2571,Incredible Labs,38730470.0,failure,1,Electronics,355.0,0.0,11,North America
2572,Increo Solutions,500000.0,failure,1,Information Technology,61.0,0.0,14,North America
2573,incuBET,5000000.0,failure,1,Design & Platforms,212.0,0.0,11,North America
2574,Incuity Software,7300000.0,success,1,Information Technology,952.0,0.0,18,North America
2575,Indeed,5000000.0,success,1,Information Technology,273.0,0.0,18,North America
2576,IndexTank,1600000.0,success,1,Information Technology,560.0,0.0,13,North America
2577,Indicative Software,6000000.0,success,1,Information Technology,1197.0,0.0,19,North America
2578,inDplay,38730470.0,success,1,Game & Applications,57.0,0.0,16,North America
2579,Industriaplex,38730470.0,failure,1,Services,3981.0,0.0,23,North America
2580,IndyGeek,7100.0,failure,2,Media & Publishing,0.0,275.0,13,North America
2581,iNest Realty,2500000.0,success,2,Real Estate,972.0,274.0,25,North America
2582,INetU Managed Hosting,38730470.0,success,1,Media & Publishing,5882.0,0.0,26,North America
2583,inevention Technology Inc.,38730470.0,success,1,Information Technology,366.0,0.0,10,North America
2584,Infinera Corporation,112000000.0,success,4,Information Technology,1049.0,1803.0,22,North America
2585,Infineta Systems,30000000.0,failure,2,Information Technology,857.0,395.0,14,North America
2586,Infinia,147863870.0,success,11,Science & Engineering,7670.0,2684.0,37,North America
2587,Infinity Pharmaceuticals,181040200.0,success,4,Health Care & Biotechnology,1102.0,3203.0,21,North America
