,location,name,url,score,description,latitude,longitude
11000,Marseille,T3 en centre ville TRIMU 4,https://www.booking.com/hotel/fr/t3-en-centre-ville-marseille.fr.html, 8.2 ,"Situé dans le centre de Marseille, à 2 km de la plage des Catalans et à 400 mètres de la rue Saint-Ferréol, le T3 en centre ville TRIMU 4 propose une connexion Wi-Fi gratuite et la climatisation. ",43.2960772,5.3791039
11001,Marseille,Studio proche gare St Charles et Hôpital Européen,https://www.booking.com/hotel/fr/studio-proche-gare-st-charles-et-hopital-europeen.fr.html, 8.6 ,"Le Studio proche gare St Charles et Hôpital Européen est situé à Marseille, dans le quartier Euromed-La Joliette, à 2,4 km de la plage des Catalans, à 700 mètres du centre commercial Les Terrasses du...",43.3081255,5.3737751
11002,Marseille,FIVE STARS S10,https://www.booking.com/hotel/fr/five-stars-s10.fr.html, 6.9 ,"Situé dans le centre de Marseille, à moins de 1,9 km de la plage des Catalans et à 600 mètres de la rue Saint-Ferréol, le FIVE STARS S10 propose un hébergement avec une cuisine. ",43.297584,5.377503
11003,Marseille,Apparemment confortable près de la plage Catalane et Pharo,https://www.booking.com/hotel/fr/apparemment-confortable-pres-de-plage-catalane-et-pharo.fr.html, 8.8 ,"Situé à Marseille, à 1,3 km de la calanque du Cuivre et à 500 mètres du palais du Pharo, l'Apparemment confortable près de la plage Catalane et Pharo propose une connexion Wi-Fi gratuite et la...",43.2897586,5.35686110000005
11004,Marseille,"Le 66,havre de paix",https://www.booking.com/hotel/fr/le-66-havre-de-paix.fr.html, 8.1 ,"Le 66, havre de paix propose un hébergement avec une connexion Wi-Fi gratuite à Marseille, à 2,2 km de Bonneveine, à moins de 1 km du stade Orange Vélodrome et à 1 km du parc des expositions et centre...",43.2736085,5.3826419
11005,Marseille,Appartement la plage,https://www.booking.com/hotel/fr/appartement-la-plage-marseille.fr.html, 7.2 ,"L'Appartement la plage est situé à Marseille, à 2,9 km du stade Orange Vélodrome et à 3,2 km du parc des expositions et centre de conventions Marseille Chanot, dans une région où vous pourrez pêcher. ",43.245093,5.381727
11006,Marseille,Appartement Design Scandinave - Vue sur Mer,https://www.booking.com/hotel/fr/vue-sur-mer-et-notre-dame-de-garde-designe-scandinave-endoume.fr.html, 9.3 ,"L'Appartement Design Scandinave - Vue sur Mer est situé à Marseille, dans le quartier d'Endoume, à 800 mètres du palais du Pharo ainsi que de la plage des Catalans. ",43.286288712949,5.36314351534429
11007,Marseille,Marseille t2 de charme,https://www.booking.com/hotel/fr/marseille-t2-de-charme.fr.html, 5.8 ,"Situé à Marseille, à 4,2 km du centre commercial Les Terrasses du Port, le Marseille t2 de charme dispose d'un salon avec une télévision à écran plat. ",43.3377941,5.3947885
11008,Marseille,La perle du Panier,https://www.booking.com/hotel/fr/la-perle-du-panier-marseille.fr.html, 9.9 ,"Situé dans le quartier du Panier à Marseille, à proximité du musée des civilisations de l'Europe et de la Méditerranée, l'établissement La perle du Panier dispose d'une connexion Wi-Fi gratuite et...",43.297865173024,5.365812696555
11009,Marseille,La Bonne Mère-Vue Notre-Dame de La Garde,https://www.booking.com/hotel/fr/appartement-1-chambre-notre-dame.fr.html, 9.0 ,"La Bonne Mère-Vue Notre-Dame de La Garde propose un hébergement avec une connexion Wi-Fi gratuite à Marseille, à 2,3 km de la plage du Prado Sud, à moins de 1 km de la basilique Notre-Dame de la Garde...",43.283112,5.374904
11010,Marseille,Studio cosy centre ville au calme ENTREE AUTONOME,https://www.booking.com/hotel/fr/studio-cosy-centre-ville-au-calme-marseille.fr.html, 7.9 ,"Situé dans le quartier Castellane et Préfecture de Marseille, à proximité de la rue Saint-Ferréol, le Studio cosy centre ville au Le calme ENTREE AUTONOME dispose d'une terrasse, d'une connexion Wi-Fi...",43.2846644,5.3874357
11011,Marseille,Vieux Port panier 1827,https://www.booking.com/hotel/fr/vieux-port-marseille2.fr.html, 9.4 ,"Situé en plein cœur de Marseille, à environ 2,9 km de la calanque du Cuivre, le Vieux Port panier 1827 propose une connexion Wi-Fi gratuite, la climatisation et des équipements ménagers tels qu'une...",43.2947671050639,5.37689750008985
11012,Marseille,Great place near Vieux Port,https://www.booking.com/hotel/fr/great-place-near-vieux-port.fr.html, 8.5 ,"Situé à Marseille, à 1,9 km de la plage des Catalans et à 700 mètres de la rue Saint-Ferréol, le Great place near Vieux Port propose des hébergements dotés d'une connexion Wi-Fi gratuite et d'une...",43.298447728405,5.376289266865
11013,Ariege,Le chant des grenouilles,https://www.booking.com/hotel/fr/le-chant-des-grenouilles.fr.html,,"Situé à Lavelanet, en Midi-Pyrénées, l'établissement Le chant des grenouilles dispose d'un jardin. Vous séjournerez à 43 km de Soldeu. ",42.943150289052,1.840925323515
11014,Ariege,La Fount del Fer,https://www.booking.com/hotel/fr/la-fount-del-fer.fr.html,,"Situé à Camarade, en Midi-Pyrénées, l'établissement La Fount del Fer dispose d'un balcon et offre une vue sur la montagne. Il offre une vue sur le jardin et se trouve à 50 km de Mirepoix. ",43.060828788219,1.266244081814
11015,Le Mont Saint Michel,"Gîte Saint-Sauveur-la-Pommeraye, 4 pièces, 6 personnes - FR-1-362-450",https://www.booking.com/hotel/fr/house-st-sauveur-la-pommeraye-6-pers-80-m2-4-3-1.fr.html,,"Gîte Saint-Sauveur-la-Pommeraye, 4 Pièces, 6 Personnes Le FR-1-362-450 est situé à Saint-Sauveur-la-Pommeraye. Elle offre une vue sur le jardin et se trouve à 22 km d'Avranches. ",48.840704,-1.436365
11016,Le Mont Saint Michel,"Appartement Granville, 2 pièces, 2 personnes - FR-1-361-380",https://www.booking.com/hotel/fr/appartement-granville-2-pieces-2-personnes-fr-1-361-380.fr.html,,"Situé à Granville, à 400 mètres de la plage de Plat Gousset et du musée d'art moderne Richard Anacreon, l'Appartement Granville, 2 pièces, 2 personnes - FR-1-361-380 propose un hébergement avec une...",48.8367794,-1.5969492
11017,Le Mont Saint Michel,"Appartement Granville, 4 pièces, 6 personnes - FR-1-361-366",https://www.booking.com/hotel/fr/appartement-granville-4-pieces-6-personnes-fr-1-361-366.fr.html,,"Appartement Granville, 4 Pièces, 6 Personnes Le FR-1-361-366 est situé à Granville, à 400 mètres de la plage de Plat Gousset, à 200 mètres du port de plaisance de Granville et à 300 mètres du musée...",48.8368973,-1.6038291
11018,Le Mont Saint Michel,"Appartement Granville, 2 pièces, 2 personnes - FR-1-361-330",https://www.booking.com/hotel/fr/apartment-appartement-centre-ville.fr.html,,"Appartement Granville, 2 Pièces, 2 Personnes Le FR-1-361-330 est situé à Granville, à 300 mètres de la plage de Plat Gousset, à 400 mètres du musée d'art moderne Richard Anacreon et à moins de 1 km du...",48.8376284,-1.5959213
11019,Le Mont Saint Michel,"Maison Granville, 4 pièces, 5 personnes - FR-1-361-135",https://www.booking.com/hotel/fr/house-maison-a-la-haute-ville-erreur-to-rebuild.fr.html,,"Située à Granville, à 200 mètres de la plage de Plat Gousset et à 100 mètres du musée d'art moderne Richard Anacréon, la Maison Granville, 4 pièces, 5 personnes - Le FR-1-361-135 propose des...",48.8384298,-1.6014032
